Cable Type Listing v0.6,,,,,,,,,,,,,
Group used by,Type #,Name,Function/Service,# conductors,conductor size,type,pairing,shielding,O.D. (max),voltage rating,raceway,Tunnel/HotCell usage,Other requirements
"LLC, RF",001,2C_22AWG_Multi_001,,2,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
"PPS, LLC",002,2C_22AWG_Multi_002,,2,22AWG,Multi,unpaired,unshielded,,300,"Cable Tray, Conduit",yes,
cryogenics,003,2C_14AWG_Multi_003,,2,14AWG,Multi,unpaired,overall shielded,,300,"Cable Tray, Conduit",yes,
Vacuum,004,3C_20AWG_Multi_004,,3,20AWG,Multi,triad,overall shielded,,300,"Cable Tray, Conduit",yes,
CFD-PPS,005,3C_20AWG_Multi_005,,3,20AWG,Multi,unpaired,unshielded,,300,"Cable Tray, Conduit",yes,
"LCC, CFD-PPS",006,4C_22AWG_Multi_006,,4,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
cryogenics,007,4C_22AWG_Multi_007,,4,22AWG,Multi,twisted pair,overall shielded,,300,"Cable Tray, Conduit",yes,
LLC,008,4C_22AWG_Multi_008,,4,22AWG,Multi,unpaired,unshielded,,300,"Cable Tray, Conduit",yes,
CFD-PPS,009,4C_18AWG_Multi_009,,4,18AWG,Multi,twisted pair,unshielded,,300,"Cable Tray, Conduit",yes,
LLC,010,6C_22AWG_Multi_010,,6,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
cryogenics,011,6C_22AWG_Multi_011,,6,22AWG,Multi,twisted pair,"individually shielded pairs, overall shielded",,300,"Cable Tray, Conduit",yes,
"LLC, PPS",012,6C_22AWG_Multi_012,,6,22AWG,Multi,unpaired,unshielded,,300,"Cable Tray, Conduit",yes,
LLC,013,6C_22AWG_Multi_013,,6,22AWG,Multi,unpaired,overall shielded,,300,"Cable Tray, Conduit",yes,
"vacuum, LLC",014,6C_18AWG_Multi_014,,6,18AWG,Multi,twisted pair,overall shielded,,300,"Cable Tray, Conduit",yes,
vacuum,015,6C_16AWG_Multi_015,,6,16AWG,Multi,twisted pair,overall shielded,,600,"Cable Tray, Conduit",yes,
LLC,016,8C_22AWG_Multi_016,,8,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
"LLC, cryogenics",017,8C_18AWG_Multi_017,,8,18AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
"LLC, PPS",018,12C_22AWG_Multi_018,,12,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
RF,019,16C_22AWG_Multi_019,,16,22AWG,Multi,twisted pair,unshielded,,300,"Cable Tray, Conduit",yes,
LLC,020,18C_22AWG_Multi_020,,18,22AWG,Multi,twisted pair,individually shielded pairs,,300,"Cable Tray, Conduit",yes,
